"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ошибки при отсутствии логина или пароля","792","Логин без обязательного поля","tests","2026-02-16","passed","2026-02-16","TestLoginCourier","test_courier_login","",""
"Проверка создания заказа с разными вариантами цветов","392","Создание заказа с цветом ['BLACK']","tests","2026-02-16","passed","2026-02-16","TestCreateOrder","test_order_creation","",""
"Проверка создания курьера с валидными данными","1335","Успешное создание курьера","tests","2026-02-16","passed","2026-02-16","TestCreateCourier","test_courier_creation","",""
"Проверка ошибки при отсутствии логина или пароля","396","Создание курьера без обязательного поля","tests","2026-02-16","passed","2026-02-16","TestCreateCourier","test_courier_creation","",""
"Проверка ошибки при неправильном логине или пароле","978","Логин с неправильными данными","tests","2026-02-16","passed","2026-02-16","TestLoginCourier","test_courier_login","",""
"Проверка ошибки при отсутствии логина или пароля","786","Логин без обязательного поля","tests","2026-02-16","passed","2026-02-16","TestLoginCourier","test_courier_login","",""
"Проверка авторизации с существующими логином и паролем","783","Успешный логин курьера","tests","2026-02-16","passed","2026-02-16","TestLoginCourier","test_courier_login","",""
"Проверка создания курьера только с логином и паролем","788","Создание курьера только с обязательными полями","tests","2026-02-16","passed","2026-02-16","TestCreateCourier","test_courier_creation","",""
"Проверка ошибки при отсутствии логина или пароля","384","Создание курьера без обязательного поля","tests","2026-02-16","passed","2026-02-16","TestCreateCourier","test_courier_creation","",""
"Проверка ошибки при авторизации несуществующего пользователя","381","Логин несуществующего курьера","tests","2026-02-16","passed","2026-02-16","TestLoginCourier","test_courier_login","",""
"Проверка создания заказа с разными вариантами цветов","399","Создание заказа с цветом ['BLACK', 'GREY']","tests","2026-02-16","passed","2026-02-16","TestCreateOrder","test_order_creation","",""
"Проверка создания заказа с разными вариантами цветов","399","Создание заказа с цветом ['GREY']","tests","2026-02-16","passed","2026-02-16","TestCreateOrder","test_order_creation","",""
"Проверка ошибки при неправильном логине или пароле","763","Логин с неправильными данными","tests","2026-02-16","passed","2026-02-16","TestLoginCourier","test_courier_login","",""
"Проверка создания заказа с разными вариантами цветов","403","Создание заказа с цветом []","tests","2026-02-16","passed","2026-02-16","TestCreateOrder","test_order_creation","",""
"Проверка невозможности создания двух курьеров с одинаковыми данными","1175","Создание двух одинаковых курьеров","tests","2026-02-16","passed","2026-02-16","TestCreateCourier","test_courier_creation","",""
"Проверка, что в ответе возвращается список заказов","10962","Получение списка заказов","tests","2026-02-16","passed","2026-02-16","TestOrdersList","test_orders_list","",""
"Проверка ошибки при создании курьера с уже существующим логином","822","Создание курьера с существующим логином","tests","2026-02-16","passed","2026-02-16","TestCreateCourier","test_courier_creation","",""
